title,url,emails
Procurement of Quality of Experience Monitoring System,https://devbusiness.un.org/notices/wb-p2111814,slowe@wardip.gm slowe@wardip.gm adanso@wardip.gm abdouliedanso64@gmail.com slowe@wardip.gm adanso@wardip.gm slowe@wardip.gm adanso@wardip.gm
Recrutement d'un Responsable junior en passation des marchés,https://devbusiness.un.org/notices/wb-p2111813,b.nzeyimana@investburundi.bi b.nzeyimana@investburundi.bi niyongabogas@gmail.com
"Amélioration de la desserte, des infrastructures et des services de proximité dans certains quartiers de Lemba, Matete et N'Djili (travaux de réhabilitation des bâtiments)",https://devbusiness.un.org/notices/wb-p2111812,billy.tshibambe@celluleinfra.org info@celluleinfra.org recrutement.cf@celluleinfra.org recrutement.cf@celluleinfra.org
"Recrutement d’une firme pour l'assistance en maître d'ouvrage du SIGeFiP avec le noyau composé des modules budgétaire, comptable et gestion de la trésorerie (études préalables et analyse des besoins complémentaires en renforcement de capacité et en équipe",https://devbusiness.un.org/notices/wb-p2111811,godemisenga1@gmail.com passationdesmarches@coref.cd
Consultancy to Develop Policy and Regulatory Framework to remove barriers and promote business environment for private investment in digital infrastructure,https://devbusiness.un.org/notices/wb-p2111810,osman.babikir@igad.int procurement@igad.int hassan.salah@igad.int
Awareness Creation (DPC) - (Production of radio and TV Documentaries),https://devbusiness.un.org/notices/wb-p2111809,william.adu@moc.gov.gh pcu.gdap@moc.gov.gh
Procurement of Destop PCs for Field offices of FBR,https://devbusiness.un.org/notices/wb-p2111808,addldirector.prr@fbr.gov.pk addldirector.prr@fbr.gov.pk addldirector.prr@fbr.gov.pk
Food Systems MLE Community Consultant,https://devbusiness.un.org/notices/un-p2111684,No emails found
UPDATE- PROVISION OF TECHNICAL ASSISTANCE FOR NCHADS-SI HIV PROGRAM,https://devbusiness.un.org/notices/gn-p2106283,kaheanhprok@nchads.org veasna_khem@nchads.org csophea@nchads.org kaheanhprok@nchads.org veasna_khem@nchads.org csophea@nchads.org veasna_khem@nchads.org kaheanhprok@nchads.org csophea@nchads.org
ACTUALIZADO - CONSTRUCCIÓN PARQUE URBANO DEL BICENTENARIO BARRIO LOS OLMOS,https://devbusiness.un.org/notices/idb-p2096072,corredorurbano.sucre@gmail.com corredorurbano.sucre@gmail.com
Environmental & Social Safeguard Manager,https://devbusiness.un.org/notices/wb-p2111683,lfugui@tina-hydro.com office@tina-hydro.com CVehe@mmere.gov.sb office@tina-hydro.com
Rehabilitation and Renovation of Semera Regional Veterinary Laboratory,https://devbusiness.un.org/notices/wb-p2111681,tamrat.terfassa@moa.gov.et
FIRME POUR LA REALISATION D’UNE ETUDE SUR L'EVALUATION DES POSTES DE COUTS DU BAREME OU DIFFERENTIEL DU CAFE ET DU CACAO,https://devbusiness.un.org/notices/afdb-p2111682,eloi.kone@pagfic.ci eloi.kone@conseilcafecacao.ci
"Provision of Non-Consulting Services for Urban Mass Certification, Formalization, and the Regularization of Unplanned Settlements - Tanga - CC Lot. 5",https://devbusiness.un.org/notices/wb-p2111680,shewiyoj@gmail.com
"Provision of Non-Consulting Services for Urban Mass Certification, Formalization, and the Regularization of Unplanned Settlements - Bariadi DC - Lot No. 18",https://devbusiness.un.org/notices/wb-p2111679,shewiyoj@gmail.com
Automatización Terminales y CLSI (Software),https://devbusiness.un.org/notices/bcie-p2111677,fhidalgo@epn.com.ni fhidalgo@epn.com.ni
"Provision of Non-Consulting Services for Urban Mass Certification, Formalization, and the Regularization of Unplanned Settlements - Mpwapwa DC - Lot No. 17",https://devbusiness.un.org/notices/wb-p2111675,shewiyoj@gmail.com
"Compañía Aseguradora, en adelante denominada en el presente documento como Compañía Aseguradora, para brindar la cobertura de accidentes personales para los funcionarios activos del Banco y miembros del FPS (476) equivalente a 72 salarios mensuales.",https://devbusiness.un.org/notices/bcie-p2111676,adqinstitucionales@bcie.org adqinstitucionales@bcie.org
ACTUALIZADO - SERVICIOS DE INTERNET A PARQUES RECREATIVOS Y OFICINAS CON NIVELES DE CONECTIVIDAD ADECUADOS,https://devbusiness.un.org/notices/idb-p2103516,adquisicionesuep@mitur.gob.sv adquisicionesuep@mitur.gob.sv adquisicionesuep@mitur.gob.sv
"Provision of Non-Consulting Services for Urban mass certification, formalization, and the regularization of unplanned settlements Moshi M - Lot No. 7",https://devbusiness.un.org/notices/wb-p2111674,shewiyoj@gmail.com
"Provision of Non-Consulting Services for Urban Mass Certification, Formalization, and the Regularization of Unplanned Settlements - Mbeya - MC Lot No. 4",https://devbusiness.un.org/notices/wb-p2111673,shewiyoj@gmail.com
Construction of Maintenance Workshop and Calibration Center,https://devbusiness.un.org/notices/wb-p2111672,tamrat.terfassa@moa.gov.et
"Provision of Non-Consulting Services for Urban Mass Certification, Formalization, and the Regularization of Unplanned Settlements - Kyela DC-Lot No. 1",https://devbusiness.un.org/notices/wb-p2111671,shewiyoj@gmail.com
"Provision of Non-Consulting Services for Urban Mass Certification, Formalization, and the Regularization of Unplanned Settlements - Chalinze DC - Lot No. 3",https://devbusiness.un.org/notices/wb-p2111670,shewiyoj@gmail.com
Provision of services for the digitization of land records and development of a land records digitization strategy,https://devbusiness.un.org/notices/wb-p2111669,alphajohcham@yahoo.com sllapprocurement79@gmail.com fodaykarimu@gmail.com alphajohcham@yahoo.com sllapprocurement79@gmail.com alphajohcham@yahoo.com jobosamba@yahoo.com fodaykarimu@gmail.com
Procurement of 1200 dose sexed semen and 1200 dose reproductive hormones,https://devbusiness.un.org/notices/wb-p2111668,fsrp.procurement@gmail.com
Procurement of Electric Items,https://devbusiness.un.org/notices/wb-p2111667,anser.nadeem@nadra.gov.pk anser.nadeem@nadra.gov.pk tdp@nadra.gov.pk
Procurement of Electric Items,https://devbusiness.un.org/notices/wb-p2111666,anser.nadeem@nadra.gov.pk anser.nadeem@nadra.gov.pk tdp@nadra.gov.pk
Procurement of Computer Systems,https://devbusiness.un.org/notices/wb-p2111665,anser.nadeem@nadra.gov.pk anser.nadeem@nadra.gov.pk tdp@nadra.gov.pk
"CABINET POUR LA REALISATION DE L’AUDIT COMPTABLE ET FINANCIER DES EXERCICES 2023 ET 2024, Y COMPRIS LA CLOTURE DU PROJET D’APPUI A LA GOUVERNANCE DE LA FILIERE CACAO (PAGFIC)",https://devbusiness.un.org/notices/afdb-p2111664,eloi.kone@pagfic.ci eloi.kone@conseilcafecacao.ci
ADQUISICIÓN E INSTALACIÓN DE EQUIPAMIENTO PARA EL INSTITUTO NACIONAL DE OFTALMOLOGIA (INO),https://devbusiness.un.org/notices/idb-p2111463,programa5376.adquisiciones@gmail.com programa5376.adquisiciones@gmail.com
ACTUALIZADO - Servicio de Modernización de la Infraestructura de Red para el Complejo Judicial de Quetzaltenango,https://devbusiness.un.org/notices/bcie-p2102790,No emails found
FIRME POUR LA REALISATION D’UNE EVALUATION DES PROGRAMMES DE RECHERCHE ET DE CONSEIL AGRICOLE FINANCES DE 2012 A 2022,https://devbusiness.un.org/notices/afdb-p2111456,No emails found
"ACTUALIZADO- Licitación Pública Internacional - BID-3849/OC-GU-LPI-O-01/2024 “SNIP 299780 Ampliación Edificio Sede Central del Ministerio Público, Barrio Gerona Zona 1, Guatemala, Guatemala""",https://devbusiness.un.org/notices/idb-p2096928,No emails found
CONSTRUCTION SISTEMA DE RIEGO LAURAWANI (BATALLAS) PLAN ENFOQUE DE CUENCA LOTE 4,https://devbusiness.un.org/notices/gn-p2111462,adquisicioneslpz@fps.gob.bo
General Procurement Notice (GPN),https://devbusiness.un.org/notices/wb-p2111455,souvannalathbakeo77@gmail.com souvannalathbakeo77@gmail.com
"Purchase of Livestock Production Kits, Veterinary Drugs and Supplements and AI Equipment and Materials",https://devbusiness.un.org/notices/wb-p2111454,scrstew@hotmail.com cenplan@svgcpd.com rjohn@svgcpd.com ctoby@svgcpd.com bwalker@svgcpd.com procurement@gov.vc
Procurement of accessories for FADs,https://devbusiness.un.org/notices/wb-p2111452,spo@procurement.gov.gd beverley.jeremiah@procurement.gov.gd procurementofficer1@procurement.gov.gd Beverley.jeremiah@procurement.gov.gd procurementofficer1@procurement.gov.gd
Consultoría para el rediseño del plan de estudio de la formación inicial docente en primera infancia,https://devbusiness.un.org/notices/wb-p2111450,carlos.castellanos@mined.gob.sv carlos.castellanos@mined.gob.sv financiamientoexterno@mined.gob.sv. carlos.castellanos@mined.gob.sv
CONSTRUCTION SISTEMA DE RIEGO LAURAWANI (BATALLAS) 3 LOTES,https://devbusiness.un.org/notices/gn-p2111461,adquisicioneslpz@fps.gob.bo
Procurement of 20 Tractors for Local Governments Area of the State,https://devbusiness.un.org/notices/wb-p2111449,ikabeer1421@gmail.com bauchiacresal@gmail.com bauchiacresal@gmail.com
"Feasibility Study, Detailed Architectural & Engineering Design, Preparation E&S Safeguard Document & Bidding Documents, Support ANE during Bidding Period & Construction Supervision of Border Post at Ponta de Ouro Mozambique/South Africa Border Crossings",https://devbusiness.un.org/notices/wb-p2111448,emymacuacua@gmail.com anefronteiras@gmail.com
Biodivesity Specialist (PoE),https://devbusiness.un.org/notices/wb-p2111447,kisiengui@ecowapp.org msdiedhiou@ecowapp.org shouessou@ecowapp.org procurement@ecowapp.org andorere@ecowapp.organd msdiedhiou@ecowapp.org
Hiring a Legal Consultant based in Maputo - B - Duration 24 Months,https://devbusiness.un.org/notices/wb-p2111446,Claudio.borges@fnds.gov.mz procurement@fnds.gov.mz
Consultoría para el diseño e implementación del sistema de certificación para centros de Educación y Cuidados de la primera infancia públicos y privados,https://devbusiness.un.org/notices/wb-p2111445,blanca.guardado@mined.gob.sv blanca.guardado@mined.gob.sv blanca.guardado@mined.gob.
Procurement of Blood testing and Component Separation with supplies and reagents,https://devbusiness.un.org/notices/wb-p2111444,tibebu.hailu@epss.gov.et tibebu.hailu@epss.gov.et tibebu.hailu@epss.gov.et
"Procurement of Imaging, Oxygen therapy, and Related equipment",https://devbusiness.un.org/notices/wb-p2111442,tibebuh@epss.gov.et tibebuh@epss.gov.et tibebu.hailu@epss.gov.et tibebu.hailu@epss.gov.et info@epss.gov.et
Mejoramiento de Capacidades Técnicas y Operativas de Puerto Corinto,https://devbusiness.un.org/notices/bcie-p2111443,fhidalgo@epn.com.ni fhidalgo@epn.com.ni
"Procurement of Cold chain, Neonatal ICU, Operating Room, Examination, and Vital sign monitoring equipment",https://devbusiness.un.org/notices/wb-p2111440,tibebuh@epss.gov.et tibebu.hailu@epss.gov.et tibebu.hailu@epss.gov.et info@epss.gov.et
Purchase of pesticides,https://devbusiness.un.org/notices/wb-p2111439,scrstew@hotmail.com cenplan@svgcpd.com rjohn@svgcpd.com ctoby@svgcpd.com bwalker@svgcpd.com procurement@gov.vc
Sustainable Landscape Expert (Planology/Forestry),https://devbusiness.un.org/notices/wb-p2111437,dj.mutaqin@bappenas.go.id ulp@bappenas.go.id
"AT pour le développement d'une stratégie, budget, un plan opérationnel, DAO pour l'alphabétisation numérique de base",https://devbusiness.un.org/notices/wb-p2111434,gaspard.mvukiye@pafen.gov.bi info@pafen.gov.bi bienvenu.irakoze@pafen.gov.bi sitou.lawson@pafen.gov.bi gaspard.mvukiye@pafen.gov.bi pierre.ndamama@pafen.gov.bi
Sanitation Marketing and Design of Resilient Household Toilet Models for Rural and Small Towns Areas in the Provinces of Nampula and Zambézia,https://devbusiness.un.org/notices/wb-p2111433,henrycossa@gmail.com procurement.rstwsp.aias@gmail.com
Reordenamiento del Recinto Portuario e Infraestructura Interinstitucional,https://devbusiness.un.org/notices/bcie-p2111436,fhidalgo@epn.com.ni fhidalgo@epn.com.ni
Recrutement d'un Comptable pour le Projet PPSB,https://devbusiness.un.org/notices/wb-p2111431,cn@ucp.mg procurement.ppsb@ucp.mg. procurement.ppsb@ucp.mg
ACQUISITION DES ENGRAIS AU COMPTE DU PROJET D’URGENCE DE PRODUCTION ET DE SÉCURITÉ ALIMENTAIRE & NUTRITIONNELLE- MALI (PUPSAN/AEFPF).,https://devbusiness.un.org/notices/afdb-p2111432,nfaya_kaba@yahoo.fr
Consultancy Services for Nigeria Country Engagement Evaluation 2024,https://devbusiness.un.org/notices/isdb-p2111429,9529694e.isdb.org@emea.teams.ms f0ceb89a.isdb.org@emea.teams.ms
Procurement of 1 no. of 4WD SUV 7 seater vehicle for the Ministry of Agriculture of the RT,https://devbusiness.un.org/notices/wb-p2111430,procurement.srasp@gmail.com procurement.srasp@gmail.com procurement.srasp@gmail.com.
GOVERNMENT ENTERPRISE ARCHITECTURE for MoCT,https://devbusiness.un.org/notices/wb-p2111428,scaleduppc@piu.mof.gov.so bid.scaledup@piu.mof.gov.so dg@moct.gov.so
INVITACION A PRESENTAR EXPRESIONES DE INTERÉS - CONSULTORÍA ESPECIALIZADA PARA EL DESARROLLO DE FUNCIONALIDADES PARA LA SINCRONIZACIÓN DEL “SISTEMA DE CENTRALIZACIÓN DE INFORMACIÓN FINANCIERA DEL ESTADO” (CIFE) CON EL SIGEF (ANALISTA DE SISTEMAS DE INFOR),https://devbusiness.un.org/notices/idb-p2111441,programabid.ue@hacienda.gov.do programabid.ue@hacienda.gov.do
"Selection and Employment of #2 Procurement Specialist for Regional WaSH, by Amahara region Bureau of Water and Energy",https://devbusiness.un.org/notices/wb-p2111427,asratksss@gmail.com
"BEO: upport to the design and implementation of a Broadband Digital Connectivity Plan for the social and productive transformation of Paraguay, allowing increased access and meaningful use of digital connectivity",https://devbusiness.un.org/notices/idb-p2111426,No emails found
Improvement of GIS,https://devbusiness.un.org/notices/wb-p2111425,masooma.rizvi@kwssip.gos.pk musman@kwssip.gos.pk
Elaboration of the Baseline Assessment and the Performance Improvement Plan for the selected WSS Operators of the MWSSP,https://devbusiness.un.org/notices/wb-p2111424,tender@ondrl.gov.md tender@ondrl.gov.md
Asset Management Program & Gap Analysis,https://devbusiness.un.org/notices/wb-p2111423,asif.khan@kwssip.gos.pk musman@kwssip.gos.pk asif.khan@kwssip.gos.pk
"Procurement of 1100 tons of wheat seeds in 3 lots for vulnerable farmers in all the regions of the Republic of Tajikistan - (200 tons of ""Grom"" variety, 400 tons of ""Alekseivich"" variety, and 500 tons of ""Temirziyaevka"" variety)",https://devbusiness.un.org/notices/wb-p2111422,procurement.srasp@gmail.com procurement.srasp@gmail.com
"Procurement of potato seeds in 5 lots for vulnerable farmers in all the regions of the Republic of Tajikistan – (200 tons of ""Picasso, 200 tons of ""Krone"", 250 tons of ""Bigroza"", 400 tons of ""Arizona"",350 tons of ""Evolution"" variety)",https://devbusiness.un.org/notices/wb-p2111421,procurement.srasp@gmail.com procurement.srasp@gmail.com
National Safeguards Specialist,https://devbusiness.un.org/notices/wb-p2111420,adanitofea@mca.gov.sb rkonale@sirap.sb rkonale@sirap.sb tatyana@paiptfsu.com
"APDCL/ADB/MMSSP/PKG-01/01-02: Procurement for Design, Engineering, Manufacture, Erection & Commissioning of the Solar PV Power Plant of Capacity 250 MWAC (Lot-I: 125 MWac and Lot-II: 125 MWac in Karbi Anglong District of Assam on Turnkey Basis and ...",https://devbusiness.un.org/notices/adb-p2111459,cgm.nre@apdcl.org
"CONSULTANCY SERVICES FOR UNDERTAKING DETAILED DESIGN, PREPARATION OF TENDER DOCUMENTS AND SUPERVISION OF LABORATORIES AND SCREEN HOUSES FOR REHABILITATION AT KIZIMBANI UNGUJA AND MATANGATUANI PEMBA",https://devbusiness.un.org/notices/wb-p2111418,jokhuu@yahoo.com ps@kilimoznz.go.tz
"UPDATE- Detailed Design and Construction Supervision firm for Investment preparation for 3 cities - preliminary Siem Reap, Kampong Speu, Kandal",https://devbusiness.un.org/notices/wb-p2105655,rosvanna258@gmail.com rosvanna258@gmail.com kemborey14@yahoo.com srd_namo@yahoo.co.uk vibol.dpwt@gmail.com chetra.saly@gmail.com lunhango@gmail.com. rosvanna258@gmail.com kemborey14@yahoo.com srd_namo@yahoo.co.uk vibol.dpwt@gmail.com chetra.saly@gmail.com lunhango@gmail.com. rosvanna258@gmail.com kemborey14@yahoo.com srd_namo@yahoo.co.uk vibol.dpwt@gmail.com chetra.saly@gmail.com lunhango@gmail.com. rosvanna258@gmail.com kemborey14@yahoo.com srd_namo@yahoo.co.uk vibol.dpwt@gmail.com chetra.saly@gmail.com lunhango@gmail.com. rosvanna258@gmail.com
IT specialist (Kafka),https://devbusiness.un.org/notices/wb-p2111417,Pmu.procurement@stat.kg pmu.procurement@stat.kgTechnical pmu.procurement@stat.kg
"Consulting services for the implementation of post-clearance audit activities and authorized economic operator, including training and certification of trainers",https://devbusiness.un.org/notices/wb-p2111416,benjaminker@yahoo.com
Consultant to conduct the project “Transforming the Treasury system” in Uzbekistan under the component 1.2 of the Project,https://devbusiness.un.org/notices/wb-p2111415,jasur.karshibayev@imv.uz info@imv.uz piu_mof@mail.ru. piu_mof@mail.ru
INVITACION A PRESENTAR EXPRESIONES DE INTERÉS - CONSULTORÍA PARA EL DESARROLLO DE MÓDULOS PARA LA SINCRONIZACIÓN DEL SISTEMA DE “CENTRALIZACIÓN DE INFORMACIÓN FINANCIERA DEL ESTADO” (CIFE)” CON SIGEF (DESARROLLADOR),https://devbusiness.un.org/notices/idb-p2111435,programabid.ue@hacienda.gov.do programabid.ue@hacienda.gov.do
Hiring a Legal Consultant based in Maputo - A - Duration 24 Months,https://devbusiness.un.org/notices/wb-p2111414,Claudio.borges@fnds.gov.mz procurement@fnds.gov.mz
Acquisition Kits Scolaires 2024-2025 2025-2026,https://devbusiness.un.org/notices/wb-p2111413,infomarches_UGP@menfp.gouv.ht infomarches_UGP@menfp.gouv.ht infomarches_UGP@menfp.gouv.ht
Supply and Delivery of Integrated Early Warning System / Public Weather Production and Dissemination and Monitoring Equipment for Improving Eswatini’s Drought Preparedness and Resilience,https://devbusiness.un.org/notices/wb-p2111412,patricia.magutshwa@ewsc.co.sz procurement@ewsc.co.sz patricia.magutshwa@ewsc.co.sz procurement@ewsc.co.sz patricia.magutshwa@ewsc.co.sz procurement@ewsc.co.sz patricia.magutshwa@ewsc.co.sz
Sélection d'un Assistant en Suivi et Evaluation,https://devbusiness.un.org/notices/wb-p2111411,atmbra@yahoo.com atmbra@yahoo.com yeoabraham@hotmail.com
Sélection d'un Chargé de communication pour l'Unité Projet PRSEP,https://devbusiness.un.org/notices/wb-p2111410,atmbra@yahoo.com atmbra@yahoo.com yeoabraham@hotmail.com
Sélection d'un Spécialiste en Sauvegarde Environnementale et Sociale,https://devbusiness.un.org/notices/wb-p2111409,atmbra@yahoo.com atmbra@yahoo.com yeoabraham@hotmail.com
CONSULTANCY SERVICES FOR TECHNICAL ASSISTANT (TA) - IRRIGATION (INDIVIDUAL CONSULTANT),https://devbusiness.un.org/notices/afdb-p2111408,Johanna.Andowa@mawf.gov.na Trevor.Louw@mlr.gov.na Mwala.Lutaka@mawlr.gov.na
Recrutement d'Un Responsable Administratif et Financier pour le Compte du Projet LAFIA IYALI,https://devbusiness.un.org/notices/wb-p2111407,lafiaiyali@ugp-lafiaiyali.ne lafiaiyali@ugp-lafiaiyali.ne fkandine@ugp-lafiaiyali.ne lafiaiyali@ugp-lafiaiyali.ne fkandine@ugp-lafiaiyali.ne
Recrutement d'un Spécialiste en Communication pour un Changement Social et Comportemental pour le Compte du Projet LAFIA IYALI,https://devbusiness.un.org/notices/wb-p2111405,lafiaiyali@ugp-lafiaiyali.ne lafiaiyali@ugp-lafiaiyali.ne fkandine@ugp-lafiaiyali.ne lafiaiyali@ugp-lafiaiyali.ne fkandine@ugp-lafiaiyali.ne
Consulting Firm to conduct the Midterm Review of the Affirmative Finance Action for Women in Africa (AFAWA) Initiative,https://devbusiness.un.org/notices/afdb-p2111406,b.jones@afdb.org m.basque-roux@afdb.org a.m.hamza@afdb.org b.diallo@afdb.org
LONG TERM EXPERT - VAT SPECIALIST,https://devbusiness.un.org/notices/afdb-p2111404,procurement@ataftax.org
Training Specialist,https://devbusiness.un.org/notices/wb-p2111403,procurement@minsapfss-ao.org procurement@minsapfss-ao.org iesminsaude@gmail.com
Monitoring and Evaluation Specialist,https://devbusiness.un.org/notices/wb-p2111402,procurement@minsapfss-ao.org procurement@minsapfss-ao.org iesminsaude@gmail.com
Training Assistant 1,https://devbusiness.un.org/notices/wb-p2111401,procurement@minsapfss-ao.org procurement@minsapfss-ao.org iesminsaude@gmail.com
SBRS Maintenance and support,https://devbusiness.un.org/notices/wb-p2111400,scaleduppc@piu.mof.gov.so bid.scaledup@piu.mof.gov.so dg@moci.gov.so
"UPDATE- REDESIGNING, SUPPLYING, INSTALLATION, TESTING AND COMMISSIONING OF REPLACED WOODEN POLES WITH LATTICE TOWERS FOR 11KV, 33KV AND 66KV OVERHEAD LINES LOCATED IN SWAMPY AREAS, RIVER AND ROAD CROSSING, AND REPLACEMENT OF THE DAMAGED LATTICE TOWERS.",https://devbusiness.un.org/notices/wb-p2101944,akaitane@escom.mw meprprocurement@escom.mw meprprocurement@escom.mw akaitane@escom.mw
UPDATE- Procurement of Equipment for 10 Bed Intensive Care Unit in 21 District Hospitals,https://devbusiness.un.org/notices/wb-p2099746,pdcovid19wb@ld.dghs.gov.bd helpdesk@eprocure.gov.bd pdcovid19wb@ld.dghs.gov.bd pdcovid19wb@ld.dghs.gov.bd helpdesk@eprocure.gov.bd pdcovid19wb@ld.dghs.gov.bd
PREPARATION OF DETAILED ENGINEERING DESIGN AND SUPERVISION OF THE CONSTRUCTION OF THE AGRO-INDUSTRIAL HUB (AIH) IN GAAIZ AND AGRICULTURAL TRANSFORMATION CENTER IN DUTSEN-WAI IN KADUNA STATE OF NIGERIA,https://devbusiness.un.org/notices/afdb-p2111438,kdsapz@gmail.com
"Consultants individuels pour servir comme membres du corps professoral de l’unité « Policy Lab » de l’Académie de gestion des finances publiques pour l’Afrique en vue du renforcement des capacités (formation, dialogue sur les politiques et assistance tech",https://devbusiness.un.org/notices/afdb-p2111395,c.ibe@afdb.org d.yeboah-forson@afdb.org l.nguessan@afdb.org
Procurement of Workshop Equipment for 6 TVET Colleges,https://devbusiness.un.org/notices/afdb-p2111394,antuwa@gmail.com
Tajikistan: Waste Water Pumping Station (Re-Tender Remaining Works),https://devbusiness.un.org/notices/ebrd-p2111393,grp-nurek-2015@mail.ru
Adquisición de Ropa Hospitalaria para el MINSA – Nicaragua.,https://devbusiness.un.org/notices/un-p2111391,No emails found
Web Master pour l’Administration et le Développement de site Web au compte du PERSIF,https://devbusiness.un.org/notices/afdb-p2111390,persif.guinee@gmail.com mohamed.diaby2020@gmail.com
SOLICITUD DE EXPRESIONES DE INTERÉS PARA REGISTRO DE ELEGIBLES EN SERVICIOS PROFESIONALES,https://devbusiness.un.org/notices/idb-p2111399,muestrasinteres@seguridadyprevencion.go.cr adquisiciones_ucp@seguridadyprevencion.go.cr
AVISO GERAL DE AQUISIÇÕES (AGA) (BR-L1607),https://devbusiness.un.org/notices/idb-p2111392,ucpr@der.sp.gov.br ucpr@der.sp.gov.br
"SBCC-PE-L1268-P00071 SUPERVISIÓN DEL DISEÑO, CONSTRUCCIÓN Y EQUIPAMIENTO DEL PROYECTO DE INVERSIÓN “MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE EDUCACIÓN SUPERIOR PEDAGÓGICA EN I.S.P.P¨. DE AZÁNGARO, AZÁNGARO, AZÁNGARO, PUNO",https://devbusiness.un.org/notices/idb-p2111132,adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe
CONSULTANT INDIVIDUEL INTERNATIONAL EN GESTION FINANCIERE,https://devbusiness.un.org/notices/afdb-p2111387,cep.PARCB@gmail.com thierry.ouande@gmail.com
"SBCC-PE-L1268-P00069 SUPERVISIÓN DEL DISEÑO, CONSTRUCCIÓN Y EQUIPAMIENTO DEL PROYECTO DE INVERSIÓN “MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN SUPERIOR TECNOLÓGICA DEL I.E.S.T.P. JORGE BASADRE GROHMAN”, TAMBOPATA, TAMBOPATA, MADRE DE DIOS",https://devbusiness.un.org/notices/idb-p2111131,adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe
"SBCC-PE-L1268-P00067 SUPERVISIÓN DEL DISEÑO, CONSTRUCCIÓN Y EQUIPAMIENTO DEL PROYECTO DE INVERSIÓN “MEJORAMIENTO DE LOS SERVICIOS DE EDUCACIÓN SUPERIOR TECNOLÓGICA DEL IESTP HUANCAVELICA DEL DISTRITO DE ASCENSIÓN, HUANCAVELICA",https://devbusiness.un.org/notices/idb-p2111130,adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe
"SBCC-PE-L1268-P00057 SUPERVISIÓN DEL DISEÑO, CONSTRUCCIÓN Y EQUIPAMIENTO DEL PROYECTO DE INVERSIÓN “MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN SUPERIOR DE FORMACIÓN ARTÍSTICA DE LA ESFA JOSE MARÍA ARGUEDAS DEL DISTRITO DE COMAS, LIMA, LIMA",https://devbusiness.un.org/notices/idb-p2111128,adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe adquisiciones@ue118.gob.pe
Procurement for the Supply and Installation of 20 Automatic Weather Station (AWS),https://devbusiness.un.org/notices/afdb-p2111089,tamrat.terfassa@moa.gov.et
